,ACCOMMODATION_CODE,pred/gbv,error,total2019,predicted,max
309,DE-00011-74,3.2914779096566558,2.2914779096566558,2953.14,9720.195074123456,3653.033
310,DE-00011-75,2.1900023879159947,1.1900023879159944,7455.953782,16328.55658677129,8010.661667
313,DE-00011-82,10.438750855290719,9.438750855290719,1093.848,11418.406745558043,1168.490544
316,DE-00011-92,2.033602622455354,1.033602622455354,6241.425143,12692.578538663583,6241.425143
318,DE-00011-99,3.438176071548087,2.438176071548087,657.64,2261.0821116928837,7969.829000000002
331,DE-00012-13,5.297106092558568,4.297106092558568,883.0,4677.344679729215,21220.546
352,DE-00012-58,3.531224599313934,2.531224599313934,3483.891333,12302.402776426212,7902.949
353,DE-00012-59,2.76090472233541,1.7609047223354104,4408.23,12170.703024140625,7452.405
354,DE-00012-60,2.4447502835523927,1.4447502835523924,5283.562,12916.989697666646,8826.873
355,DE-00012-61,2.145336241243686,1.145336241243686,7100.7945,15233.591782473837,9575.7625
356,DE-00012-62,2.8847248977761963,1.8847248977761963,3609.255,10411.707760923226,5901.621
357,DE-00012-63,2.654349519573927,1.6543495195739266,3595.557333,9543.86587944906,7425.641
360,DE-00012-65-01,2.5650238878448994,1.5650238878448997,2683.164286,6882.3804886023045,14771.66019
362,DE-00012-66-01,5.605867187339433,4.605867187339433,1348.37,7558.78313939287,14032.58571
370,DE-00012-75,3.0440292170367576,2.0440292170367576,685.0,2085.160013670179,25365.66433
371,DE-00012-76,2.8791039598296164,1.8791039598296164,293.865,846.0678851553303,6424.012
380,DE-00012-87,2.045781264424282,1.0457812644242817,5417.742464,11083.516028327043,8442.539714
386,DE-00012-93-99,6.228836837045926,5.228836837045926,7514.73022,46808.02841479824,37201.85387
394,DE-00013-08,2.086015609482559,1.0860156094825588,5085.405714,10608.235699955798,10119.89029
403,DE-00013-114,2.6976709651038115,1.6976709651038113,2973.216487,8020.759789947854,6599.680628
407,DE-00013-124-01,4.875381611865329,3.875381611865329,1168.332,5696.064349353844,42723.48147
409,DE-00013-17,3.0533135596890406,2.0533135596890406,4812.47,14693.979906596718,6267.811
417,DE-00013-31,2.2228601732291122,1.2228601732291124,3901.430714,8672.33495276342,3901.430714
424,DE-00013-38,3.2417085971069546,2.2417085971069546,5506.222,17849.56719497945,5506.222
481,DE-00014-49,2.943795587257559,1.9437955872575592,10985.44929,32338.917143943687,38071.75778
482,DE-00014-51,3.0939628845774654,2.0939628845774654,2525.92,7815.102729411911,7006.688
492,DE-00014-64,2.0807246663943935,1.0807246663943932,2806.158286,5838.842763487212,4089.114
524,DE-00015-37,2.739616703821755,1.739616703821755,2743.327,7515.664473245224,4271.03
535,DE-00015-74-01,2.476065593985232,1.4760655939852318,3068.784,7598.510477772376,23612.758
537,DE-00015-75-01,3.008698131117636,2.0086981311176357,3099.092,9324.232308561617,17805.256999999998
538,DE-00015-76,5.072638494077728,4.072638494077728,200.8,1018.5858096108078,8450.235706
542,DE-00015-83,4.397596887556575,3.3975968875565754,689.252,3031.052449942144,8629.826714
543,DE-00015-84,17.659123662947827,16.659123662947824,170.74200000000005,3015.1540924590386,7505.119714
549,DE-00015-92,4.398003285214399,3.398003285214399,189.189,832.0538435264269,8498.708
550,DE-00015-97,2.071004620849039,1.071004620849039,3244.037286,6718.416209512577,3244.037286
568,DE-00016-33,2.3037709050291415,1.3037709050291415,1323.3670000000004,3048.734391275701,4742.760349
576,DE-00016-46,2.1995717096347103,1.19957170963471,3808.48039,8377.025722542568,8374.616762
582,DE-00016-65,3.255964490994471,2.255964490994471,1261.12,4106.161938882947,2794.348
588,DE-00016-75,2.8077874823271913,1.8077874823271916,2321.13,6517.239758854114,6904.958000000001
589,DE-00016-76,3.9119236938555826,2.9119236938555826,2258.342857,8834.46493114781,2451.047143
610,DE-00017-105,2.029815668360836,1.0298156683608364,11698.11215,23745.01133231227,11698.11215
614,DE-00017-20,3.150528802194581,2.150528802194581,361.79,1139.8298153459775,4163.791945
621,DE-00017-37,2.0653151812777573,1.0653151812777573,3581.094333,7396.088491532644,9701.122667
632,DE-00017-55,3.8241364200928842,2.8241364200928842,1985.21,7591.713862532595,1985.21
633,DE-00017-56,8.302834933123261,7.30283493312326,1079.97,8966.812642725128,1628.47
658,DE-00018-00,2.200996138194557,1.2009961381945573,3923.06,8634.63990990554,7320.59
661,DE-00018-22,2.5320220679573042,1.5320220679573044,762.0,1929.4008157834658,10911.868
665,DE-00018-40,2.904492436081449,1.9044924360814488,914.0,2654.7060865784442,11031.417
670,DE-00018-51-09,4.915229212024554,3.915229212024554,1371.0,6738.779249685664,9728.893662
671,DE-00018-60,2.0774401521817767,1.0774401521817767,1016.35,2111.4062986699487,1569.98
681,DE-00018-81,3.242506456363792,2.242506456363792,860.37,2789.7552798617157,3271.382
696,DE-00019-23,2.387587632306931,1.387587632306931,628.181,1499.8371864502005,17570.002
702,DE-00019-54,2.4046637115530483,1.404663711553048,4932.817,11861.766035631972,7796.238
720,DE-00020-101,8.71342175915166,7.71342175915166,745.128,6492.6145285531575,2321.668
751,DE-00020-83,4.011602293628017,3.0116022936280165,895.4069999999997,3592.0167749305806,22030.40600000001
755,DE-00021-30-99,3.335676715694659,2.335676715694659,3820.14,12742.752048693794,45985.53095
756,DE-00021-34,3.301312403170462,2.301312403170462,4162.635714,13742.160912508532,7071.7301430000025
759,DE-00021-62,3.1873925707286546,2.1873925707286546,4925.749,15700.295767874099,6469.203
777,DE-00022-25,2.128411810532278,1.128411810532278,6932.042,14754.240063905794,15371.367
780,DE-00022-53,3.5760588922355483,2.5760588922355483,1848.0,6608.556832851294,4602.733
781,DE-00022-54,20.502368218558413,19.502368218558413,639.0,13101.013291658826,3489.397
782,DE-00022-55,2.718438009759324,1.7184380097593241,3463.501143,9415.313153976063,11854.02973
783,DE-00022-57,3.0031647087779714,2.0031647087779714,6310.493801,18951.452278125358,8509.419
799,DE-00022-92,2.6473041155791117,1.647304115579112,5112.201,13533.55074696765,6029.749286
808,DE-00023-58,5.693124371255193,4.693124371255193,494.637,2816.029959624555,494.637
809,DE-00023-58-04,5.62167708410968,4.62167708410968,626.4830000000002,3521.8851246842855,626.4830000000002
810,DE-00023-58-05,14.669598407940345,13.669598407940343,1892.795,27766.542518557446,1892.795
811,DE-00023-76,28.527868896487462,27.527868896487462,290.433,8285.434547213543,290.433
817,DE-00024-79,15.40145227639226,14.40145227639226,96.32833333,1483.596228646401,5973.991667
823,DE-00024-98,4.219987551344513,3.219987551344513,2330.856,9836.183303976666,3551.72
829,DE-00025-79,2.6421408040659338,1.642140804065934,3863.67,10208.360160445427,3863.67
837,DE-00026-41,3.3607208980064636,2.3607208980064636,1706.871,5736.317039901191,1706.871
841,DE-00027-21-22,2.0188705507932188,1.018870550793219,19004.49,38367.60519384422,19004.49
846,DE-00027-59,3.1663262123074,2.1663262123074,3277.13,10376.46262013895,3277.13
856,DE-00029-15,4.760111508325777,3.7601115083257772,5507.401429,26215.84492315273,5507.401429
861,DE-00029-29,2.147933295085196,1.147933295085196,3574.22,7677.186141959409,3574.22
864,DE-00029-43,2.383325646272676,1.383325646272676,3210.02,7650.522991048215,3210.02
867,DE-00029-44-2,2.0342849096464666,1.0342849096464664,3686.302,7498.988530999589,3686.302
868,DE-00029-44-3,2.5239839146069607,1.5239839146069607,3195.443,8065.246732043411,3195.443
871,DE-00029-61,8.98208926617723,7.98208926617723,509.14,4573.140928981475,509.14
872,DE-00029-76,2.555531892301614,1.555531892301614,1604.13,4099.405374397788,1604.13
873,DE-00029-77,6.215336948578265,5.215336948578265,399.31,2481.846196936787,399.31
874,DE-00029-79,4.70154170357918,3.7015417035791804,203.0,954.4129658265737,203.0
878,DE-00546-01,2.0425650865288305,1.0425650865288303,6210.062143,12684.45611846621,6210.062143
920,DE-06485-04,58.26211968134601,57.26211968134601,103.24,6014.981235902162,21536.00567
921,DE-06485-06,2.1098006428674436,1.1098006428674436,4103.141111,8656.809753763637,6462.839889
926,DE-06485-17,13.49184757594753,12.491847575947528,498.386,6724.147945986186,498.386
946,DE-06493-28,2.6059749733934194,1.6059749733934194,4264.358,11112.810225590016,4264.358
959,DE-06502-19,7.987916664889429,6.987916664889429,571.2571429,4563.154451708032,571.2571429
971,DE-07387-01,2.202293324428473,1.2022933244284733,1703.094,3750.7125470741857,12186.42
974,DE-08209-02,2.338213604667845,1.338213604667845,6374.5865,14905.144878431982,9796.254643
1007,DE-09477-01,3.403810692204106,2.403810692204106,4174.986571,14210.863930178359,4174.986571
1008,DE-09477-02,2.5099358977831923,1.5099358977831925,3905.855714,9803.447468130202,3905.855714
1020,DE-09579-08,3.196638587669752,2.196638587669752,4652.25,14871.561869486604,4652.25
1021,DE-09623-01,2.8378728179635733,1.8378728179635733,5998.018571000001,17021.61386428162,9860.745714
1046,DE-17375-08,13.980287804245222,12.98028780424522,814.6,11388.342445338158,814.6
1047,DE-17375-09,3.485065707217207,2.485065707217207,3245.87,11312.070227085116,3245.87
1050,DE-17406-08,2.4638386024737926,1.4638386024737926,6276.099,15463.294989147167,13270.471
1059,DE-18225-16,2.21864023266807,1.2186402326680699,1378.725461,3058.895777578432,1378.725461
1060,DE-18230-07-08,2.0834992139887967,1.0834992139887965,6525.172,13595.190733141704,10575.81609
1062,DE-18230-10,4.88749389600881,3.8874938960088103,3845.99,18797.252649110924,3845.99
1063,DE-18230-12,4.361347496064742,3.361347496064741,3436.0,14985.589996478451,3436.0
1071,DE-18279-01,3.5388191754706226,2.5388191754706226,3583.245661,12680.458455568705,3583.245661
1081,DE-23948-01,2.368380522904957,1.3683805229049566,6436.32,15243.65492718363,6436.32
1084,DE-23948-03,2.1257644937888434,1.1257644937888434,4917.017,10452.420153956136,4917.017
1087,DE-23948-06,3.080700343141143,2.080700343141143,3178.861,9793.118173497996,3178.861
1088,DE-23948-07,2.0395797375958242,1.0395797375958244,7748.780156,15804.25499726221,7748.780156
1095,DE-27245-01,2.2260043184462788,1.2260043184462786,3358.429,7475.877457195218,6140.577429
1096,DE-27245-02,2.3720061146202562,1.372006114620256,3370.888,7995.766947700046,5257.366
1099,DE-29223-01,2.1110140761248752,1.1110140761248752,4366.568571,9217.887717745481,9093.661714
1139,DE-33181-04,5.530120030448378,4.530120030448378,1342.47,7424.020237276034,1342.47
1141,DE-34292-01,2.094026523135565,1.094026523135565,1065.57,2231.331842257564,1065.57
1146,DE-34454-11,4.025304023152821,3.0253040231528217,1513.78,6093.424724168278,1513.78
1152,DE-34508-113,2.0245377621819025,1.0245377621819027,6250.4437579999985,12654.259418465159,29631.12957
1157,DE-34508-120,3.635128923205587,2.635128923205587,2510.308,9125.293216954371,2935.92
1167,DE-34508-135,2.048247847895951,1.0482478478959512,8058.67,16506.153484403665,8058.67
1181,DE-34513-19,7.323485937376367,6.323485937376367,4367.5059999999985,31985.3687724069,12214.09
1200,DE-34537-02,2.2881170465705134,1.2881170465705134,4752.287,10873.788894895446,9969.995
