iter	Passed	Remaining
399	56757	156083
400	56949	156077
401	57100	155961
402	57255	155855
403	57396	155709
404	57538	155566
405	57721	155534
406	57899	155488
407	58055	155383
408	58214	155285
409	58362	155158
410	58524	155067
411	58672	154942
412	58837	154857
413	59008	154789
414	59172	154703
415	59334	154612
416	59504	154539
417	59659	154430
418	59820	154335
419	59964	154194
420	60099	154031
421	60254	153920
422	60411	153812
423	60612	153819
424	60797	153781
425	60980	153740
426	61139	153637
427	61295	153525
428	61448	153406
429	61600	153284
430	61758	153177
431	61931	153109
432	62091	153005
433	62249	152898
434	62459	152917
435	62618	152812
436	62833	152840
437	63013	152785
438	63180	152699
439	63328	152563
440	63485	152450
441	63644	152344
442	63818	152270
443	63997	152210
444	64161	152113
445	64322	152009
446	64462	151854
447	64612	151724
448	64765	151600
449	64892	151414
450	65074	151359
451	65186	151141
452	65347	151034
453	65518	150951
454	65673	150833
455	65862	150790
456	66005	150642
457	66184	150577
458	66364	150513
459	66520	150393
460	66660	150238
461	66804	150093
462	66968	149993
463	67153	149938
464	67303	149804
465	67412	149579
466	67549	149419
467	67705	149298
468	67878	149217
469	68012	149047
470	68189	148974
471	68339	148840
472	68438	148597
473	68596	148480
474	68762	148383
475	68933	148293
476	69098	148192
477	69258	148079
478	69443	148020
479	69637	147980
480	69810	147893
481	70015	147874
482	70186	147784
483	70406	147794
484	70590	147730
485	70796	147711
486	70982	147649
487	71189	147631
488	71454	147730
489	71639	147665
490	71826	147603
491	72009	147531
492	72176	147426
493	72341	147318
494	72531	147260
495	72667	147094
496	72811	146942
497	72976	146832
498	73116	146672
499	73277	146554
500	73463	146487
501	73614	146349
502	73757	146195
503	73909	146059
504	74060	145921
505	74233	145827
506	74394	145707
507	74578	145633
508	74742	145520
509	74882	145360
510	75040	145235
511	75187	145088
512	75333	144940
513	75504	144840
514	75687	144760
515	75821	144589
516	75964	144435
517	76128	144320
518	76329	144276
519	76500	144173
520	76693	144113
521	76867	144015
522	77031	143899
523	77153	143706
524	77263	143489
525	77388	143300
526	77545	143171
527	77700	143040
528	77879	142951
529	78046	142839
530	78225	142749
531	78364	142588
532	78538	142488
533	78665	142304
534	78818	142167
535	78956	142003
536	79124	141894
537	79304	141804
538	79483	141714
539	79646	141593
540	79815	141483
541	79992	141388
542	80178	141308
543	80336	141180
544	80477	141020
545	80629	140879
546	80808	140786
547	80950	140629
548	81111	140504
549	81262	140361
550	81424	140239
551	81574	140095
552	81736	139971
553	81917	139881
554	82078	139754
555	82175	139520
556	82325	139376
557	82504	139281
558	82677	139176
559	82833	139042
560	83001	138928
561	83151	138783
562	83305	138644
563	83473	138530
564	83624	138386
565	83771	138237
566	83895	138049
567	84085	137971
568	84258	137863
569	84430	137755
570	84583	137615
571	84736	137473
572	84892	137338
573	85054	137213
574	85172	137016
575	85365	136940
576	85522	136805
577	85701	136706
578	85882	136611
579	86070	136525
580	86239	136410
581	86387	136260
582	86557	136146
583	86723	136025
584	86897	135917
585	87094	135843
586	87271	135739
587	87416	135585
588	87570	135444
589	87720	135297
590	87872	135154
591	88024	135010
592	88187	134883
593	88378	134799
594	88555	134694
595	88707	134549
596	88792	134303
597	88896	134088
598	89051	133948
599	89245	133867
600	89398	133725
601	89566	133605
602	89776	133548
603	89951	133438
604	90116	133312
605	90273	133176
606	90445	133060
607	90619	132948
608	90776	132811
609	90933	132673
610	91073	132510
611	91234	132379
612	91344	132173
613	91486	132014
614	91613	131833
615	91760	131681
616	91895	131512
617	92043	131363
618	92203	131229
619	92379	131119
620	92549	131000
621	92708	130865
622	92870	130734
623	93029	130598
624	93190	130466
625	93357	130342
626	93520	130213
627	93673	130069
628	93801	129890
629	93956	129749
630	94130	129635
631	94291	129501
632	94444	129357
633	94632	129261
634	94776	129105
635	94940	128975
636	95104	128847
637	95256	128701
638	95425	128578
639	95620	128490
640	95788	128365
641	95935	128213
642	96092	128073
643	96218	127892
644	96372	127749
645	96535	127618
646	96715	127509
647	96886	127387
648	97043	127248
649	97200	127108
650	97363	126976
651	97526	126843
652	97704	126731
653	97843	126568
654	97991	126416
655	98157	126287
656	98309	126141
657	98483	126023
658	98653	125899
659	98828	125781
660	99000	125660
661	99158	125521
662	99311	125375
663	99468	125234
664	99570	125024
665	99658	124798
666	99822	124666
667	99971	124515
668	100158	124412
669	100317	124274
670	100462	124118
671	100611	123967
672	100772	123832
673	100973	123744
674	101127	123600
675	101303	123482
676	101456	123336
677	101658	123250
678	101840	123138
679	102049	123060
680	102221	122936
681	102404	122825
682	102581	122707
683	102755	122586
684	102917	122448
685	103110	122349
686	103306	122253
687	103466	122114
688	103629	121978
689	103793	121844
690	103937	121687
691	104135	121591
692	104308	121467
693	104467	121327
694	104620	121178
695	104791	121051
696	104955	120916
697	105158	120826
698	105311	120679
699	105414	120473
700	105559	120316
701	105710	120167
702	105860	120015
703	106035	119892
704	106221	119781
705	106371	119630
706	106537	119496
707	106701	119360
708	106848	119206
709	107008	119065
710	107159	118915
711	107360	118820
712	107537	118698
713	107687	118546
714	107865	118426
715	108039	118300
716	108199	118158
717	108381	118041
718	108535	117894
719	108693	117751
720	108828	117583
721	108987	117441
722	109150	117302
723	109292	117142
724	109479	117029
725	109668	116919
726	109840	116790
727	109997	116645
728	110150	116496
729	110301	116345
730	110485	116229
731	110646	116088
732	110767	115905
733	110865	115698
734	111032	115564
735	111214	115445
736	111371	115300
737	111484	115110
738	111668	114992
739	111841	114863
740	112008	114729
741	112169	114587
742	112315	114431
743	112469	114283
744	112661	114173
745	112802	114012
746	112955	113862
747	113124	113729
748	113258	113560
749	113418	113418
750	113585	113283
751	113762	113157
752	113917	113010
753	114077	112866
754	114242	112729
755	114408	112592
756	114554	112435
757	114720	112298
758	114912	112187
759	115075	112046
760	115212	111881
761	115398	111764
762	115562	111624
763	115709	111468
764	115882	111338
765	116181	111327
766	116469	111306
767	116689	111219
768	116892	111115
769	117084	111002
770	117313	110923
771	117507	110810
772	117718	110713
773	117977	110661
774	118156	110533
775	118299	110372
776	118483	110248
777	118649	110109
778	118830	109982
779	119032	109876
780	119205	109741
781	119357	109589
782	119512	109438
783	119684	109304
784	119833	109147
785	119966	108977
786	120136	108840
787	120314	108710
788	120485	108574
789	120628	108412
790	120781	108260
791	120921	108096
792	121083	107952
793	121276	107835
794	121425	107679
795	121586	107534
796	121743	107384
797	121887	107224
798	122052	107082
799	122232	106953
800	122400	106814
801	122549	106658
802	122698	106501
803	122878	106372
804	123044	106231
805	123203	106083
806	123387	105957
807	123536	105801
808	123701	105658
809	123855	105506
810	123999	105346
811	124155	105195
812	124323	105055
813	124488	104912
814	124641	104760
815	124781	104596
816	124939	104447
817	125105	104305
818	125268	104160
819	125420	104007
820	125554	103838
821	125722	103697
822	125863	103535
823	126081	103435
824	126256	103300
825	126463	103192
826	126614	103037
827	126800	102910
828	126967	102768
829	127117	102612
830	127271	102460
831	127429	102311
832	128830	103157
833	128950	102975
834	129087	102805
835	129233	102645
836	129364	102471
837	129489	102293
838	129646	102141
839	129789	101977
840	129944	101823
841	130082	101656
842	130222	101489
843	130364	101325
844	130493	101152
845	130647	100996
846	130790	100833
847	130984	100709
848	131135	100552
849	131272	100384
850	131418	100223
851	131552	100053
852	131677	99877
853	131823	99716
854	132020	99594
855	132167	99434
856	132273	99243
857	132443	99101
858	132611	98956
859	132783	98815
860	132962	98679
861	133174	98568
862	133353	98431
863	133538	98299
864	133725	98168
865	133929	98049
866	134153	97946
867	134335	97811
868	134515	97674
869	134613	97478
870	134793	97342
871	134979	97209
872	135190	97095
873	135380	96965
874	135537	96812
875	135678	96647
876	135773	96450
877	135936	96301
878	136080	96139
879	136276	96012
880	136426	95854
881	136603	95715
882	136767	95566
883	136922	95411
884	137088	95264
885	137234	95103
886	137434	94980
887	137599	94832
888	137751	94675
889	137894	94511
890	138059	94363
891	138210	94206
892	138382	94062
893	138536	93907
894	138680	93745
895	138839	93592
896	138992	93436
897	139141	93277
898	139291	93119
899	139473	92982
900	139626	92826
901	139794	92679
902	139942	92520
903	140083	92355
904	140217	92187
905	140366	92028
906	140555	91895
907	140674	91717
908	140817	91554
909	140962	91393
910	141118	91239
911	141255	91072
912	141389	90904
913	141536	90744
914	141720	90608
915	141884	90459
916	142001	90280
917	142157	90125
918	142271	89945
919	142430	89793
920	142557	89620
921	142741	89484
922	142906	89335
923	143031	89162
924	143187	89008
925	143338	88851
926	143506	88704
927	143639	88536
928	143799	88385
929	143943	88223
930	144109	88075
931	144265	87921
932	144388	87747
933	144544	87593
934	144671	87421
935	144865	87290
936	145008	87129
937	145172	86979
938	145323	86822
939	145466	86661
940	145562	86471
941	145715	86315
942	145892	86173
943	146039	86014
944	146197	85862
945	146340	85700
946	146486	85540
947	146580	85350
948	146700	85175
949	146787	84982
950	146888	84796
951	147074	84660
952	147242	84513
953	147389	84355
954	147521	84187
955	147685	84038
956	147836	83882
957	148007	83736
958	148158	83580
959	148280	83407
960	148444	83258
961	148616	83113
962	148775	82962
963	148871	82775
964	149006	82609
965	149180	82466
966	149356	82323
967	149544	82187
968	149725	82047
969	149912	81910
970	150097	81772
971	150307	81648
972	150497	81513
973	150665	81365
974	150834	81218
975	150978	81058
976	151140	80907
977	151326	80769
978	151449	80597
979	151611	80446
980	151767	80292
981	151926	80140
982	152081	79985
983	152233	79829
984	152406	79684
985	152547	79522
986	152709	79371
987	152844	79207
988	152979	79042
989	153122	78881
990	153281	78728
991	153471	78592
992	153626	78437
993	153788	78286
994	153907	78114
995	154055	77956
996	154212	77802
997	154394	77661
998	154581	77522
999	154728	77364
1000	154864	77200
1001	154989	77030
1002	155117	76862
1003	155256	76700
1004	155389	76535
1005	155586	76401
1006	155747	76249
1007	155907	76097
1008	156066	75945
1009	156199	75779
1010	156305	75601
1011	156444	75439
1012	156628	75298
1013	156761	75134
1014	156901	74972
1015	157084	74831
1016	157205	74660
1017	157310	74483
1018	157442	74317
1019	157578	74154
1020	157768	74016
1021	157924	73862
1022	158093	73714
1023	158260	73566
1024	158414	73411
1025	158568	73256
1026	158688	73086
1027	158876	72947
1028	159027	72790
1029	159183	72637
1030	159312	72470
1031	159466	72316
1032	159611	72157
1033	159739	71990
1034	159906	71842
1035	160050	71683
1036	160203	71527
1037	160368	71377
1038	160528	71226
1039	160680	71070
1040	160868	70930
1041	161066	70795
1042	161220	70640
1043	161370	70483
1044	161536	70333
1045	161706	70186
1046	161858	70030
1047	162063	69897
