,ACCOMMODATION_CODE,pred/gbv,error,total2019,predicted,max
1881,DE-59969-26,2.1670590473412337,1.1670590473412334,3195.64,6925.140574045539,3195.64
1884,DE-59969-34,3.3813487794182433,2.3813487794182433,12617.28243,42663.432544255746,12617.28243
1887,DE-63695-01,2.8462724405957074,1.8462724405957076,338.787,964.2801013320978,9875.457714
1937,DE-78073-04,5.7811232771263965,4.7811232771263965,901.61,5212.31855788993,5752.512
1938,DE-78073-05,10.954886009655242,9.95488600965524,372.88,4084.857895280247,3373.21
1939,DE-78073-09,2.097217495895721,1.0972174958957208,4572.634,9589.808027127634,7193.598571
1940,DE-78073-10,14.139399936968024,13.139399936968024,316.33,4472.716382061095,3499.282632
1952,DE-78136-01,2.608366547787457,1.6083665477874567,2645.04,6899.233853559735,3770.394
1986,DE-79737-03,2.1623187203830203,1.1623187203830205,9260.91,20025.039060782317,23493.348
1992,DE-79737-13,2.637548684402364,1.6375486844023637,1236.06,3260.168426842386,1236.06
2002,DE-79875-12,2.125875950539398,1.125875950539398,4137.870091,8796.59851291317,4658.455333
2010,DE-82433-21,3.23574190170768,2.2357419017076805,1169.05,3782.7440701913633,1169.05
2090,DE-92709-07,7.171264714140041,6.171264714140041,812.1,5823.784074353128,3289.644286
2097,DE-93453-05,2.409315799538748,1.409315799538748,6341.614000000001,15278.950804776121,8619.822857
2098,DE-93453-06,2.2115028578245575,1.2115028578245572,5453.0315,12059.394746057333,6458.846
2099,DE-93453-07,2.456589821878164,1.456589821878164,4909.4495,12060.50367272484,4909.4495
2104,DE-93477-09,3.8714694200147233,2.8714694200147233,3578.510571000001,13854.09424482593,4449.953429
2114,DE-94065-05,2.374057215590996,1.3740572155909958,4730.930286,11231.499181936273,7500.828570999999
2116,DE-94065-08,4.2539432168683575,3.253943216868357,1422.773,6052.395552493444,2201.84
2121,DE-94065-13,7.682056821730655,6.682056821730655,1297.49,9967.391905627308,1297.49
2122,DE-94089-05,2.936855214276942,1.9368552142769417,6880.8044290000025,20207.926365728534,13910.63143
